"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.29166666666667","7.29166666666667","7.28333333333333","7.13333333333333","7.16666666666667","7.2375","7.02916666666667","7.412","7.42","7.768","7.912","8.012","8.052","8.08","8.084","","",
"Afganistán","AFG","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"","AFW","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.105","20.1952380952381","20.1952380952381","20.1952380952381","20.1761904761905","20.5380952380952","21.2952380952381","21.2904761904762","20.6181818181818","20.8954545454545","20.9090909090909","20.9727272727273","20.9727272727273","21.0227272727273","21.4772727272727","","",
"Angola","AGO","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","",
"Albania","ALB","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","34.6","24.5","28.6","31.9","27.3","25","25.3","18.8","18.8","18.8","18.8","18.8","18.8","18.8","","",
"Andorra","AND","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2555555555556","15.3","15.145","15.155","15.23","15.205","15.27","15.0714285714286","14.752380952381","15.1238095238095","15.2238095238095","15.3380952380952","15.5380952380952","15.6714285714286","15.5333333333333","","",
"Emiratos Árabes Unidos","ARE","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","","",
"Argentina","ARG","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.3","29.3","29.3","29.3","29.3","29.3","29.9","","",
